Station,Crest Time,Car Initials,Car Number,Cut Record ID,Car Record ID,Retarder Name,Exit Speed Adjust (Operator Influence),Ret Max Clamp If Used (0 = not used) (fps),Ret Min Clamp If Used (0 = not used) (fps),Entering Speed Predicted (fps),Entering Speed Actual (fps),Entering TimeStamp Actual,Exiting Speed Predicted (fps),Exiting Speed Actual (fps),Exiting TimeStamp Actual,Requested Exit Speed (fps),Predicted Exit Speed (fps),Actual Exit Speed (fps)
TULSA,2021-09-01 00:00:00,NDYX,832972,10899782,1933543,RTG4150,0.0,0.0,0.0,20.554021761098195,20.29,2021-09-01 00:00:58,0.0,13.5,2021-09-01 00:01:16,13.3,13.30469241208156,13.46
TULSA,2021-09-01 00:00:00,NDYX,832972,10899782,1933543,RTM0950,0.0,0.0,0.0,13.186644679569067,9.86,2021-09-01 00:00:31,0.0,19.44,2021-09-01 00:00:51,18.42,18.421293101567368,18.91
TULSA,2021-09-01 00:04:08,WAMX,475505,10899822,1933554,RTM0950,0.0,0.0,0.0,13.15087309029285,9.59,2021-09-01 00:04:40,0.0,19.23,2021-09-01 00:05:00,18.43,18.43255343269227,18.86
TULSA,2021-09-01 00:04:08,WAMX,475505,10899822,1933554,RTG4150,0.0,0.0,0.0,20.422559814592113,19.78,2021-09-01 00:05:08,0.0,13.43,2021-09-01 00:05:25,13.52,13.525698685425775,13.35
TULSA,2021-09-01 00:05:07,WAMX,178665,10899812,1933549,RTM0950,0.0,0.0,0.0,13.23028605988475,6.51,2021-09-01 00:05:45,0.0,21.18,2021-09-01 00:06:15,19.31,19.313441476895346,20.27
TULSA,2021-09-01 00:05:07,WAMX,178665,10899812,1933549,RTG4150,0.0,0.0,0.0,20.406797692503662,20.24,2021-09-01 00:06:16,0.0,13.18,2021-09-01 00:06:40,13.29,13.296825917433546,13.34
TULSA,2021-09-01 00:51:04,TBOX,663569,10899832,1933557,RTG4150,0.0,0.0,0.0,19.686092569454196,20.22,2021-09-01 00:51:48,0.0,11.35,2021-09-01 00:51:59,10.86,10.867117863234096,11.29
TULSA,2021-09-01 00:51:04,TBOX,663569,10899832,1933557,RTM0950,0.0,0.0,0.0,13.757337244424274,15.56,2021-09-01 00:51:20,0.0,16.3,2021-09-01 00:51:34,15.43,15.430736121083571,15.87
TULSA,2021-09-01 00:51:26,CSXT,134145,10899872,1933563,RTM0950,0.0,0.0,0.0,14.078684571214634,15.69,2021-09-01 00:51:42,0.0,16.51,2021-09-01 00:51:55,15.42,15.427864578166854,16.05
TULSA,2021-09-01 00:51:26,CSXT,134145,10899872,1933563,RTG2130,0.0,0.0,0.0,19.644002726030923,21.19,2021-09-01 00:52:13,0.0,12.91,2021-09-01 00:52:24,12.43,12.431162659797176,12.8
TULSA,2021-09-01 00:51:45,GLCX,8183,10899892,1933565,RTG2130,0.0,0.0,0.0,21.701223894183105,21.9,2021-09-01 00:52:30,0.0,15.06,2021-09-01 00:52:39,14.39,14.392855513648755,14.99
TULSA,2021-09-01 00:51:45,GLCX,8183,10899892,1933565,RTM0950,0.0,0.0,0.0,13.211175718912525,15.18,2021-09-01 00:52:01,0.0,18.86,2021-09-01 00:52:14,17.49,17.494466481601833,18.38
TULSA,2021-09-01 00:52:05,GATX,466,10899882,1933564,RTM0950,0.0,0.0,0.0,13.109820505426475,14.77,2021-09-01 00:52:24,0.0,18.2,2021-09-01 00:52:37,17.13,17.137216227902062,17.7
TULSA,2021-09-01 00:52:05,GATX,466,10899882,1933564,RTG3140,0.0,0.0,0.0,20.4193997489978,21.22,2021-09-01 00:52:54,0.0,15.32,2021-09-01 00:53:03,14.82,14.82171323723189,15.12
TULSA,2021-09-01 00:52:25,CAGY,4003,10899922,1933571,RTG3140,0.0,0.0,0.0,20.722843608726016,21.07,2021-09-01 00:53:12,0.0,12.63,2021-09-01 00:53:21,12.37,12.3732523038273,12.62
TULSA,2021-09-01 00:52:25,CAGY,4003,10899922,1933571,RTM0950,0.0,0.0,0.0,14.679647200853122,16.04,2021-09-01 00:52:40,0.0,16.03,2021-09-01 00:52:53,14.87,14.877060633326321,15.49
TULSA,2021-09-01 00:52:42,NDYX,380625,10899862,1933562,RTG0920,0.0,0.0,0.0,19.549650748918125,20.35,2021-09-01 00:53:25,0.0,12.09,2021-09-01 00:53:35,11.34,11.347106332909412,12.17
TULSA,2021-09-01 00:52:42,NDYX,380625,10899862,1933562,RTM0950,0.0,0.0,0.0,14.537742107145673,15.7,2021-09-01 00:52:58,0.0,16.6,2021-09-01 00:53:11,15.55,15.551814043959356,16.25
TULSA,2021-09-01 00:53:00,BNSF,534069,10899932,1933572,RTG2130,0.0,0.0,0.0,20.026715404285973,20.3,2021-09-01 00:53:48,0.0,12.44,2021-09-01 00:53:59,11.42,11.42663585855218,12.46
TULSA,2021-09-01 00:53:00,BNSF,534069,10899932,1933572,RTM0950,0.0,0.0,0.0,14.257013452710929,15.84,2021-09-01 00:53:16,0.0,15.32,2021-09-01 00:53:29,14.34,14.342426819817177,14.95
TULSA,2021-09-01 00:53:19,BNSF,534166,10899842,1933558,RTG4150,0.0,0.0,0.0,20.627390882965944,21.67,2021-09-01 00:54:00,0.0,13.22,2021-09-01 00:54:10,12.46,12.464186196463318,13.23
TULSA,2021-09-01 00:53:19,BNSF,534166,10899842,1933558,RTM0950,0.0,0.0,0.0,14.089574022797493,15.8,2021-09-01 00:53:35,0.0,17.76,2021-09-01 00:53:47,16.79,16.795595829103753,17.42
TULSA,2021-09-01 00:53:38,BNSF,431560,10899852,1933559,RTM0950,0.0,0.0,0.0,13.27022594851929,11.49,2021-09-01 00:54:04,0.0,17.88,2021-09-01 00:54:23,17.0,17.005544367423646,17.23
TULSA,2021-09-01 00:53:38,BNSF,431560,10899852,1933559,RTG2130,0.0,0.0,0.0,20.531413969140566,19.6,2021-09-01 00:54:36,0.0,13.74,2021-09-01 00:54:53,13.46,13.464233707088312,13.78
TULSA,2021-09-01 00:54:30,OCPX,62533,10899942,1933573,RTM0950,0.0,0.0,0.0,12.684231193401123,14.97,2021-09-01 00:54:47,0.0,19.12,2021-09-01 00:55:00,18.18,18.181946633760887,18.91
TULSA,2021-09-01 00:54:30,OCPX,62533,10899942,1933573,RTG3140,0.0,0.0,0.0,21.95386308358613,22.29,2021-09-01 00:55:15,0.0,16.36,2021-09-01 00:55:24,15.91,15.91521280927496,16.32
TULSA,2021-09-01 00:54:54,BLHX,164041,10899902,1933566,RTG0920,0.0,0.0,0.0,22.558198047336983,20.87,2021-09-01 00:55:45,0.0,14.76,2021-09-01 00:55:59,14.45,14.45217698097123,14.84
TULSA,2021-09-01 00:54:54,BLHX,164041,10899902,1933566,RTM0950,0.0,0.0,0.0,13.484977879848902,12.1,2021-09-01 00:55:19,0.0,19.17,2021-09-01 00:55:36,18.16,18.16246780808726,18.91
TULSA,2021-09-01 00:55:43,TILX,257255,10899912,1933568,RTG3140,0.0,0.0,0.0,20.13380298987458,20.7,2021-09-01 00:56:42,0.0,15.37,2021-09-01 00:56:58,14.82,14.857781181494136,15.25
TULSA,2021-09-01 00:55:43,TILX,257255,10899912,1933568,RTM0950,0.0,0.0,0.0,13.21832906537205,10.64,2021-09-01 00:56:11,0.0,18.79,2021-09-01 00:56:31,18.07,18.07556993131803,18.52
TULSA,2021-09-01 01:16:08,GATX,7711,10899952,1933574,RTG2130,0.0,0.0,0.0,20.34210073322162,20.25,2021-09-01 01:17:01,0.0,13.24,2021-09-01 01:17:13,13.47,13.477530326325343,13.5
TULSA,2021-09-01 01:16:08,GATX,7711,10899952,1933574,RTM0950,0.0,0.0,0.0,14.174536928494637,13.99,2021-09-01 01:16:30,0.0,17.38,2021-09-01 01:16:45,16.57,16.57414355850023,17.1
TULSA,2021-09-01 01:16:37,GATX,8213,10900002,1933580,RTM0950,0.0,0.0,0.0,14.896529426185802,15.95,2021-09-01 01:16:53,0.0,16.07,2021-09-01 01:17:05,15.37,15.379619530389819,15.49
TULSA,2021-09-01 01:16:37,GATX,8213,10900002,1933580,RTG3140,0.0,0.0,0.0,19.966410763705998,20.44,2021-09-01 01:17:24,0.0,14.82,2021-09-01 01:17:33,13.06,13.060818978090689,14.87
TULSA,2021-09-01 01:16:53,CTCX,710146,10899962,1933576,RTM0950,0.0,0.0,0.0,13.930655021896014,15.53,2021-09-01 01:17:10,0.0,16.43,2021-09-01 01:17:23,15.48,15.486601672842033,15.88
TULSA,2021-09-01 01:16:53,CTCX,710146,10899962,1933576,RTG2130,0.0,0.0,0.0,19.652771025205293,20.71,2021-09-01 01:17:41,0.0,12.91,2021-09-01 01:17:51,12.54,12.548106844362206,12.96
TULSA,2021-09-01 01:17:13,GATX,68344,10899992,1933579,RTM0950,0.0,0.0,0.0,13.912626244517265,15.5,2021-09-01 01:17:30,0.0,15.71,2021-09-01 01:17:44,14.8,14.800128472479008,15.36
TULSA,2021-09-01 01:17:13,GATX,68344,10899992,1933579,RTG2130,0.0,0.0,0.0,19.138906676752114,19.81,2021-09-01 01:18:03,0.0,11.6,2021-09-01 01:18:14,11.22,11.226584390914754,11.56
TULSA,2021-09-01 01:17:34,SHPX,208242,10900102,1933598,RTG2130,0.0,0.0,0.0,20.95443897149021,19.27,2021-09-01 01:18:37,0.0,12.47,2021-09-01 01:18:55,11.97,11.972934517711181,12.43
TULSA,2021-09-01 01:17:34,SHPX,208242,10900102,1933598,RTM0950,0.0,0.0,0.0,13.749249324428996,10.85,2021-09-01 01:18:04,0.0,17.26,2021-09-01 01:18:25,16.02,16.022245086430477,16.89
TULSA,2021-09-01 01:18:34,UTLX,667369,10899972,1933577,RTM0950,0.0,0.0,0.0,13.959746205993916,15.44,2021-09-01 01:18:51,0.0,16.49,2021-09-01 01:19:04,15.49,15.498591701814386,15.96
TULSA,2021-09-01 01:18:34,UTLX,667369,10899972,1933577,RTG2130,0.0,0.0,0.0,19.663605249426574,20.53,2021-09-01 01:19:22,0.0,12.88,2021-09-01 01:19:33,12.56,12.56430663995405,12.99
TULSA,2021-09-01 01:18:54,TILX,263878,10899982,1933578,RTM0950,0.0,0.0,0.0,13.952125021777631,15.53,2021-09-01 01:19:10,0.0,16.22,2021-09-01 01:19:24,15.31,15.316455337086904,15.76
TULSA,2021-09-01 01:18:54,TILX,263878,10899982,1933578,RTG2130,0.0,0.0,0.0,19.529884950392123,20.41,2021-09-01 01:19:42,0.0,12.74,2021-09-01 01:19:53,12.2,12.20660039241013,12.7
TULSA,2021-09-01 01:19:15,UTLX,202169,10900092,1933595,RTG3140,0.0,0.0,0.0,21.648591164145227,19.58,2021-09-01 01:20:17,0.0,13.21,2021-09-01 01:20:34,13.03,13.035360194537976,13.27
TULSA,2021-09-01 01:19:15,UTLX,202169,10900092,1933595,RTM0950,0.0,0.0,0.0,13.6860956228546,10.91,2021-09-01 01:19:44,0.0,17.44,2021-09-01 01:20:05,16.5,16.503275245550526,17.26
TULSA,2021-09-01 01:20:15,GATX,68467,10900082,1933594,RTM0950,0.0,0.0,0.0,13.968836250011615,15.33,2021-09-01 01:20:32,0.0,15.28,2021-09-01 01:20:46,14.43,14.434538664119332,14.99
TULSA,2021-09-01 01:20:15,GATX,68467,10900082,1933594,RTG3140,0.0,0.0,0.0,18.97383377410078,20.04,2021-09-01 01:21:05,0.0,10.89,2021-09-01 01:21:15,10.66,10.667627121750558,10.93
TULSA,2021-09-01 01:20:35,SHPX,209678,10900012,1933581,RTM0950,0.0,0.0,0.0,13.642477932648063,15.57,2021-09-01 01:20:52,0.0,16.78,2021-09-01 01:21:06,15.6,15.606927672565968,16.2
TULSA,2021-09-01 01:20:35,SHPX,209678,10900012,1933581,RTG2130,0.0,0.0,0.0,19.635842448718716,20.7,2021-09-01 01:21:23,0.0,12.29,2021-09-01 01:21:34,12.52,12.526488268818724,12.37
TULSA,2021-09-01 01:20:57,NATX,250606,10900022,1933582,RTM0950,0.0,0.0,0.0,13.574460363428024,15.62,2021-09-01 01:21:13,0.0,16.75,2021-09-01 01:21:27,15.92,15.922899818881147,16.21
TULSA,2021-09-01 01:20:57,NATX,250606,10900022,1933582,RTG3140,0.0,0.0,0.0,20.022785254605196,20.81,2021-09-01 01:21:44,0.0,13.58,2021-09-01 01:21:54,13.4,13.406038945248891,13.6
TULSA,2021-09-01 01:21:19,NATX,250174,10900032,1933583,RTM0950,0.0,0.0,0.0,13.467485689874122,10.62,2021-09-01 01:21:49,0.0,17.29,2021-09-01 01:22:11,16.1,16.103252442551405,16.7
TULSA,2021-09-01 01:21:19,NATX,250174,10900032,1933583,RTG2130,0.0,0.0,0.0,18.89135480837799,19.1,2021-09-01 01:22:23,0.0,12.13,2021-09-01 01:22:42,11.94,11.94859431156316,12.14
TULSA,2021-09-01 01:22:23,NATX,250603,10900042,1933586,RTM0950,0.0,0.0,0.0,13.393045738570134,13.25,2021-09-01 01:22:47,0.0,16.31,2021-09-01 01:23:05,15.43,15.43475119522087,16.02
TULSA,2021-09-01 01:22:23,NATX,250603,10900042,1933586,RTG2130,0.0,0.0,0.0,19.79140317890735,19.17,2021-09-01 01:23:20,0.0,11.89,2021-09-01 01:23:36,11.63,11.631546633230402,11.83
TULSA,2021-09-01 01:23:05,CTCX,710181,10900052,1933588,RTM0950,0.0,0.0,0.0,13.760318553966858,13.44,2021-09-01 01:23:29,0.0,16.43,2021-09-01 01:23:47,15.1,15.107393894450956,16.0
TULSA,2021-09-01 01:23:05,CTCX,710181,10900052,1933588,RTG2130,0.0,0.0,0.0,19.61971796132871,19.17,2021-09-01 01:24:03,0.0,11.49,2021-09-01 01:24:18,11.05,11.050273196880786,11.41
TULSA,2021-09-01 01:23:47,FURX,123524,10900062,1933590,RTG2130,0.0,0.0,0.0,19.84562810764133,19.26,2021-09-01 01:24:44,0.0,11.0,2021-09-01 01:25:00,10.76,10.769872529630074,10.95
TULSA,2021-09-01 01:23:47,FURX,123524,10900062,1933590,RTM0950,0.0,0.0,0.0,13.773660324687198,13.59,2021-09-01 01:24:10,0.0,16.11,2021-09-01 01:24:28,14.9,14.902135484015574,15.66
TULSA,2021-09-01 01:24:26,FURX,123534,10900072,1933592,RTM0950,0.0,0.0,0.0,13.77575029593513,13.41,2021-09-01 01:24:50,0.0,16.13,2021-09-01 01:25:07,14.89,14.89813322035282,15.69
TULSA,2021-09-01 01:24:26,FURX,123534,10900072,1933592,RTG2130,0.0,0.0,0.0,19.649828686423536,19.03,2021-09-01 01:25:23,0.0,10.92,2021-09-01 01:25:39,10.76,10.766565040205071,10.93
TULSA,2021-09-01 01:42:00,NATX,250186,10900142,1933605,RTM0950,0.0,0.0,0.0,13.632357391154184,15.38,2021-09-01 01:42:17,0.0,16.35,2021-09-01 01:42:31,15.11,15.112696051123601,15.69
TULSA,2021-09-01 01:42:00,NATX,250186,10900142,1933605,RTG3140,0.0,0.0,0.0,19.41561684233461,20.39,2021-09-01 01:42:49,0.0,13.39,2021-09-01 01:42:59,13.14,13.148868750354834,13.43
TULSA,2021-09-01 01:42:21,DBUX,250171,10900112,1933601,RTG2130,0.0,0.0,0.0,19.1729913701273,20.1,2021-09-01 01:43:10,0.0,11.82,2021-09-01 01:43:21,11.34,11.342319682049485,11.74
TULSA,2021-09-01 01:42:21,DBUX,250171,10900112,1933601,RTM0950,0.0,0.0,0.0,13.632273758256286,15.4,2021-09-01 01:42:37,0.0,16.01,2021-09-01 01:42:51,14.94,14.942414232779525,15.43
TULSA,2021-09-01 01:42:43,RACX,52012,10900122,1933602,RTG3140,0.0,0.0,10.633335749999999,19.601624613696444,18.95,2021-09-01 01:43:42,0.0,10.66,2021-09-01 01:43:57,10.63,10.35825128226419,10.63
TULSA,2021-09-01 01:42:43,RACX,52012,10900122,1933602,RTM0950,0.0,0.0,0.0,13.753094703493801,13.29,2021-09-01 01:43:07,0.0,16.1,2021-09-01 01:43:25,14.64,14.643367236869885,15.49
TULSA,2021-09-01 01:43:25,GATX,3532,10900132,1933604,RTG2130,0.0,0.0,0.0,19.155286974196255,20.13,2021-09-01 01:44:17,0.0,11.63,2021-09-01 01:44:29,11.41,11.410496858268393,11.49
TULSA,2021-09-01 01:43:25,GATX,3532,10900132,1933604,RTM0950,0.0,0.0,0.0,13.722695761324935,15.39,2021-09-01 01:43:45,0.0,15.99,2021-09-01 01:43:59,14.74,14.7441809044092,15.33
TULSA,2021-09-01 01:44:20,TCBX,262320,10900152,1933606,RTM0950,0.0,0.0,0.0,13.810045205037124,13.32,2021-09-01 01:44:43,0.0,15.93,2021-09-01 01:45:01,14.84,14.848749233637488,15.5
TULSA,2021-09-01 01:44:20,TCBX,262320,10900152,1933606,RTG3140,0.0,0.0,0.0,19.52253803432164,19.07,2021-09-01 01:45:18,0.0,10.9,2021-09-01 01:45:33,10.75,10.751658214089836,10.79
TULSA,2021-09-01 01:45:00,SHPX,209600,10900232,1933618,RTM0950,0.0,0.0,0.0,13.56477063406644,15.46,2021-09-01 01:45:17,0.0,16.74,2021-09-01 01:45:31,15.77,15.771350914097113,16.12
