Car Number,Rollability (lbs)
912888,1328.6486486486485
82023,660.6666666666666
606898,404.70588235294116
930411,1218.5714285714287
668650,1055.6097560975609
503504,1158.4615384615383
166424,1071.0000000000002
190143,1075.5000000000002
68087,361.99999999999994
164041,409.2156862745098
669850,1049.7560975609756
54052,972.5581395348836
451154,880.4444444444443
164017,937.6744186046511
627100,993.3333333333333
9410,1254.2105263157894
9407,495.3333333333333
301980,420.6
1614,384.4
34353,910.4347826086956
71461,940.8695652173914
8142,1213.3333333333335
134145,901.7021276595744
546121,908.5106382978724
2183,160.56451612903223
2191,411.875
3053,1165.6410256410256
410171,431.70212765957444
70132,430.4255319148936
333606,999.1111111111112
130561,1057.6744186046512
545552,868.0000000000001
4056,965.1162790697674
726238,905.1162790697674
212854,1012.857142857143
1004,841.7777777777779
661963,241.21212121212122
120008,957.2093023255813
163701,1217.3684210526314
727183,906.8181818181818
829531,381.79999999999995
643021,985.3333333333334
660678,206.77595628415304
16068,993.3333333333333
5925,950.6976744186047
262318,957.1428571428573
306451,225.26315789473685
309706,382.7450980392157
33663,381.96078431372547
50871,963.2558139534883
559514,1024.6511627906978
209590,902.2727272727274
57959,966.046511627907
979032,111.50617283950616
254826,351.6071428571429
256065,939.0697674418606
80909,1211.2820512820515
53548,921.860465116279
538794,217.40112994350278
2064,1063.90243902439
534481,1035.1219512195123
883694,415.625
71733,1175.5
101604,1383.888888888889
50097,1131.5
53616,1148.7804878048782
470874,270.94594594594594
380625,946.5116279069769
4134,172.79661016949154
2116,151.69811320754718
322480,1196.923076923077
32162,174.39655172413794
87588,1221.0526315789473
491691,1217.4358974358975
73035,495.34883720930236
913111,417.0212765957447
912206,436.59574468085106
534069,845.8333333333333
257138,109.88888888888891
516490,721.5384615384615
66049,350.70175438596493
940140,190.88235294117646
171598,112.28169014084506
26878,995.5555555555555
73519,107.14666666666665
42110,353.39285714285705
677874,866.6666666666667
468259,214.88888888888886
16380,901.7021276595746
18381,930.8695652173913
12460,936.5217391304348
155054,871.4893617021276
323205,788.9795918367346
1819,863.0434782608695
2103,862.9166666666667
101992,235.5151515151515
102111,231.42857142857142
681060,931.7391304347825
134145,901.7021276595744
8183,973.3333333333333
534069,845.8333333333333
431560,225.28735632183907
265260,801.2
1104,319.1379310344828
252478,331.0344827586207
284071,207.41935483870967
978372,92.88372093023254
68344,792.4000000000001
250171,820.4081632653063
3532,774.2307692307692
25127,327.58620689655174
746,195.97883597883595
6050,343.859649122807
19278,357.22222222222223
152009,360.3636363636364
733516,942.1739130434783
484728,199.0625
81763,326.03448275862064
250904,334.82142857142856
250905,825.8333333333333
250127,837.5000000000001
337858,813.061224489796
82411,950.6666666666666
16239,214.44444444444446
641522,973.3333333333333
602,837.0833333333333
640547,366.66666666666674
350671,398.6
72930,841.2500000000001
806018,906.0869565217391
7711,382.07547169811323
250603,336.3157894736842
123534,333.85964912280707
804831,765.2
519629,197.31182795698928
68063,897.8260869565216
70033,377.3076923076923
496655,355.0
4029,352.77777777777777
546121,908.5106382978724
257138,109.88888888888891
518829,321.6949152542373
208242,203.91534391534387
263878,850.4166666666666
250174,198.95833333333334
710181,330.51724137931035
805215,824.4897959183672
722449,354.99999999999994
68034,852.7659574468086
339664,1027.4418604651164
7065,811.0204081632654
32090,796.4
32142,338.5964912280702
1808,800.8333333333331
50020,902.5531914893618
262774,149.6153846153846
236115,871.4893617021276
40051,897.4468085106383
40114,981.3333333333334
470937,842.9166666666666
90101,879.5744680851064
53468,847.9166666666667
802308,759.6078431372549
660838,334.40677966101697
660799,201.77083333333334
733021,787.6
300282,798.4
730026,813.8775510204083
873019,804.0
627124,352.3214285714285
213951,386.53846153846155
310086,896.5957446808511
257326,822.9166666666666
215400,209.8888888888889
257313,190.7692307692308
250243,188.28282828282826
225195,193.22751322751324
215434,205.6989247311828
69110,360.72727272727275
123524,337.8947368421053
561257,750.8
563671,692.4528301886793
561266,302.03389830508473
561174,180.60606060606057
