Station,Crest Time,Car Initials,Car Number,Cut Record ID,Device Name,Car Weight Avg (lbs),Segment Distance (ft),Segment Grade,Front Velocity (fps),Rear Velocity (fps),Front Free Rolling,Rear Free Rolling,Friction Energy Loss,Kinetic Energy,Potential Energy,Wind Energy,Wind Direction,Wind Gust Velocity (fps),Wind Velocity (fps),Wind Energy Info
TULSA,2021-09-01 00:00:00,NDYX,832972,10899784,SWB4150,76666.0,262.6299999999992,0.012549451974836288,18.8781,20.29,FALSE,TRUE,322043.24,4957948.14,795431.31,715.82819979532,186,4.0,3.0031752857142853,"{""densityOfAir"":0.07167528059811702,""bulkhead"":190,""relativeWindSpeed"":17.904611295915945,""dragCoefficient"":0.003,""elapsedTime"":7.166}"
TULSA,2021-09-01 00:00:00,NDYX,832972,10899784,SWB4546,76666.0,137.26000000000022,-0.001675652047209805,13.4409,12.3066,TRUE,TRUE,125500.33,658366.96,-52900.01,214.17087273906506,186,4.0,3.0031752857142853,"{""densityOfAir"":0.07167470740262137,""bulkhead"":190,""relativeWindSpeed"":10.909711295915947,""dragCoefficient"":0.003,""elapsedTime"":10.552}"
TULSA,2021-09-01 00:00:00,NDYX,832972,10899784,SWB0950,76666.0,98.03999999999905,0.031156547743236996,20.1149,9.86,FALSE,TRUE,47442.8,3597281.75,660174.6,(null),188,4.0,3.0800007,
TULSA,2021-09-01 00:04:08,WAMX,475505,10899824,SWB4546,72000.0,137.26000000000022,-0.001675652047209805,13.5659,11.5283,TRUE,TRUE,122567.19,639004.16,-49680.01,247.88385665558977,199,3.0,2.374603714285714,"{""densityOfAir"":0.07167470740262137,""bulkhead"":190,""relativeWindSpeed"":11.02940963932516,""dragCoefficient"":0.003,""elapsedTime"":10.944}"
TULSA,2021-09-01 00:04:08,WAMX,475505,10899824,SWB4150,72000.0,263.21333333333257,0.012549451974836288,18.3438,19.78,FALSE,TRUE,325743.37,4522201.53,748147.34,803.4024791605142,203,3.0,2.444445,"{""densityOfAir"":0.07167528059811702,""bulkhead"":190,""relativeWindSpeed"":18.072574327025936,""dragCoefficient"":0.003,""elapsedTime"":7.467}"
TULSA,2021-09-01 00:04:08,WAMX,475505,10899824,SWB0950,72000.0,98.6233333333324,0.031156547743236996,19.909,9.59,FALSE,TRUE,44157.48,3155870.48,624423.26,(null),203,3.0,2.444445,
TULSA,2021-09-01 00:05:07,WAMX,178665,10899814,SWB4546,74000.0,137.26000000000022,-0.001675652047209805,15.1123,11.9291,FALSE,TRUE,201835.1,1057860.03,-85100.01,227.09871075474805,191,4.0,2.584127571428571,"{""densityOfAir"":0.07167470740262137,""bulkhead"":190,""relativeWindSpeed"":10.872778995099015,""dragCoefficient"":0.003,""elapsedTime"":10.82}"
TULSA,2021-09-01 00:05:07,WAMX,178665,10899814,SWB0950,74000.0,98.6233333333324,0.031156547743236996,17.5703,6.51,FALSE,TRUE,74944.27,8075918.88,1069613.92,(null),210,4.0,2.5142862857142854,
TULSA,2021-09-01 00:05:07,WAMX,178665,10899814,SWB4150,74000.0,263.21333333333257,0.012549451974836288,19.6409,20.24,FALSE,TRUE,551788.16,9119223.62,1281548.69,179.82074163034451,191,4.0,2.584127571428571,"{""densityOfAir"":0.07167528059811702,""bulkhead"":190,""relativeWindSpeed"":19.011978995099014,""dragCoefficient"":0.003,""elapsedTime"":1.453}"
TULSA,2021-09-01 00:51:04,TBOX,663569,10899834,SWB4150,248400.0,262.1299999999992,0.012549451974836288,12.2807,20.22,TRUE,TRUE,202480.19,4098787.68,857948.41,755.2664480042455,175,2.0,2.3466672,"{""densityOfAir"":0.0718078407619752,""bulkhead"":150,""relativeWindSpeed"":16.65807467676945,""dragCoefficient"":0.0025,""elapsedTime"":13.924}"
